token,sentiment,polarity
abandon,-0.5,negative
abandonment,-0.6,negative
abdication,-0.25,negative
aberration,-0.45,negative
aberrational,-0.25,negative
abet,-0.35,negative
abeyance,-0.5,negative
abeyances,-0.3,negative
abide,0.2,positive
ability,0.1,positive
able,0.3,positive
abnormal,-0.3,negative
abnormality,-0.25,negative
abnormally,-0.3,negative
abolish,-0.25,negative
abort,-0.5,negative
aborted,-0.45,negative
abortive,-0.5,negative
abound,0.45,positive
abreast,0.25,positive
abrogate,-0.1,negative
abrogation,-0.35,negative
abrupt,-0.3,negative
abruptly,-0.2,negative
abruptness,-0.4,negative
absence,-0.3,negative
absent,-0.25,negative
absenteeism,-0.4,negative
absorb,0.3,positive
absurd,-0.45,negative
absurdity,-0.4,negative
abundance,0.75,positive
abundant,0.75,positive
abuse,-0.45,negative
abused,-0.9,negative
abusive,-0.7,negative
abusively,-0.8,negative
abusiveness,-0.7,negative
abuzz,0.4,positive
abysmal,-0.55,negative
accelerate,0.6,positive
accelerated,0.6,positive
acceleration,0.5,positive
accept,0.35,positive
acceptable,0.45,positive
access,0.3,positive
accident,-0.3,negative
accidental,-0.25,negative
accidentally,-0.4,negative
acclaim,0.65,positive
acclaimed,0.5,positive
accolade,0.5,positive
accommodate,0.45,positive
accommodative,0.55,positive
accomplish,0.8,positive
accomplishment,0.7,positive
accountability,0.4,positive
accredit,0.45,positive
accuracy,0.95,positive
accurate,0.5,positive
accusation,-0.3,negative
accuse,-0.2,negative
accustom,0.2,positive
achievable,0.45,positive
achieve,0.65,positive
achievement,0.65,positive
acid,-0.3,negative
acknowledge,0.5,positive
acknowledgment,0.65,positive
acquire,0.65,positive
acrimonious,-0.5,negative
action,0.3,positive
activate,0.4,positive
active,0.35,positive
actual,0.1,positive
acumen,0.55,positive
adamant,0.6,positive
addled,-0.35,negative
adequacy,0.2,positive
adequately,0.3,positive
adjunct,0.05,positive
adjustable,0.35,positive
adjustment,0.05,positive
admirable,0.5,positive
admire,0.35,positive
admired,0.7,positive
admissibility,0.2,positive
admissibly,0.15,positive
admission,0.3,positive
adore,0.6,positive
adorn,0.5,positive
adrift,-0.3,negative
adulterate,-0.4,negative
adulteration,-0.6,negative
advance,0.6,positive
advanced,0.5,positive
advancement,0.55,positive
advantage,0.75,positive
advantageous,0.8,positive
advantageously,0.7,positive
adventurous,0.7,positive
adversarial,-0.65,negative
adversary,-0.35,negative
adversely,-0.65,negative
advice,0.3,positive
advise,0.2,positive
affair,-0.1,negative
affection,0.65,positive
affectionate,0.55,positive
affidavit,-0.1,negative
affirm,0.4,positive
affirmative,0.5,positive
afflict,-0.25,negative
affluent,0.8,positive
afford,0.5,positive
affordability,0.75,positive
affordable,0.6,positive
afraid,-0.5,negative
aftermath,-0.35,negative
aftershock,-0.65,negative
against,-0.25,negative
aged,-0.35,negative
aggravate,-0.4,negative
aggravation,-0.4,negative
aggression,-0.25,negative
aggressive,-0.45,negative
aggrieve,-0.6,negative
